HP:0004328	Abnormal anterior segment morphology	C4025355,
HP:0004757	Paroxysmal atrial fibrillation	C0235480,
HP:0004751	Paroxysmal ventricular tachycardia	C0030591,
HP:0007576	Palmar neurofibromas	C4024841,
HP:0004758	Effort-induced polymorphic ventricular tachycardias	C4025298,
HP:0011848	Abdominal colic	C0232488,
HP:0009588	Vestibular Schwannoma	C0027859,
HP:0009589	Bilateral vestibular Schwannoma	C1136042,
HP:0011690	Permanent junctional reciprocating tachycardia	C0340483,
HP:0003745	Sporadic	C1853237,
HP:0005524	Macrocytic hemolytic disease	C4025185,
HP:0006747	Ganglioneuroblastoma	C0206718,
HP:0000006	Autosomal dominant inheritance	C0443147,
HP:0012372	Abnormal eye morphology	C4022925,
HP:0000001	All	C0444868,
HP:0005522	Pyridoxine-responsive sideroblastic anemia	C0272027,
HP:0001924	Sideroblastic anemia	C0002896,
HP:0011277	Abnormality of the urinary system physiology	C4023437,
HP:0006659	Internally rotated shoulders	C1862491,
HP:0025085	Bloody diarrhea	C0151594,C1321898,
HP:0008346	Increased red cell sickling tendency	C4024695,
HP:0025086	Bloody mucoid diarrhea	C4476583,
HP:0006650	Thickening of the lateral border of the scapula	C1834383,
HP:0006657	Hypoplasia of first ribs	C1834386,
HP:0006655	Rib segmentation abnormalities	C1968999,
HP:0006608	Midclavicular hypoplasia	C1844530,
HP:0012373	Abnormal eye physiology	C4022924,
HP:0003639	Elevated urinary epinephrine	C1868393,
HP:0012274	Autosomal dominant inheritance with paternal imprinting	C4022976,
HP:0012275	Autosomal dominant inheritance with maternal imprinting	C4022975,
HP:0003739	Myoclonic spasms	C3806442,
